,author,url,date,rating,review,year,review_length,scores,compound_scores,labels
344,Trustwizmagic,https://www.imdb.com/review/rw6369793/?ref_=tt_urv,2020-12-16,1.0,Tenet=Terrible,2020,14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
345,selmacpsc,https://www.imdb.com/review/rw6307775/?ref_=tt_urv,2020-11-25,4.0,What was that? Hard pass.,2020,25,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negative
346,abofahad,https://www.imdb.com/review/rw6036687/?ref_=tt_urv,2020-08-28,6.0,Instant replay,2020,14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
347,ansku,https://www.imdb.com/review/rw6438853/?ref_=tt_urv,2021-01-03,4.0,Not a good movie,2021,16,"{'neg': 0.546, 'neu': 0.454, 'pos': 0.0, 'compound': -0.3412}",-0.3412,negative
348,MrMcMurphy,https://www.imdb.com/review/rw6380481/?ref_=tt_urv,2020-12-19,1.0,Denzel's son is NOT Denzel,2020,26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
349,majoreasy,https://www.imdb.com/review/rw7995528/?ref_=tt_urv,2022-03-22,3.0,Nice concept...overplayed hand...,2022,33,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",0.4215,positive
350,GB,https://www.imdb.com/review/rw6043227/?ref_=tt_urv,2020-08-29,6.0,My Head Hurts,2020,13,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
351,yogeshevolution,https://www.imdb.com/review/rw6338313/?ref_=tt_urv,2020-12-05,7.0,More like LOOPERS movie but way more complicated,2020,48,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2255}",0.2255,positive
352,MohammadyKamal,https://www.imdb.com/review/rw7170011/?ref_=tt_urv,2021-07-27,5.0,This is fantasy not Sci-Fi,2021,26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
353,Tweetienator,https://www.imdb.com/review/rw6258811/?ref_=tt_urv,2020-11-11,5.0,Not For Everyone,2020,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
354,yannisroussos,https://www.imdb.com/review/rw6346973/?ref_=tt_urv,2020-12-08,3.0,How disappointing...,2020,20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
355,edgeofreality,https://www.imdb.com/review/rw6364821/?ref_=tt_urv,2020-12-14,1.0,Time can't be reversed...,2020,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
356,ernestsbakulis,https://www.imdb.com/review/rw7166714/?ref_=tt_urv,2021-07-26,2.0,"Just a movie not worth wasting Your time, even if you can go back in time.",2021,74,"{'neg': 0.098, 'neu': 0.768, 'pos': 0.133, 'compound': 0.1511}",0.1511,positive
357,Beni_McBeni,https://www.imdb.com/review/rw6841332/?ref_=tt_urv,2021-04-23,1.0,Cant hear them talking,2021,22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
358,RivereyesGR,https://www.imdb.com/review/rw7232981/?ref_=tt_urv,2021-08-15,7.0,(Almost) Thinking Man's Bond,2021,28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
359,Genti,https://www.imdb.com/review/rw6335875/?ref_=tt_urv,2020-12-04,5.0,It's not smart because it's confusing,2020,37,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.4867}",-0.4867,negative
360,aaronet,https://www.imdb.com/review/rw6028726/?ref_=tt_urv,2020-08-26,7.0,Ridiculously loud,2020,17,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.34}",-0.34,negative
361,DogRiver,https://www.imdb.com/review/rw6953783/?ref_=tt_urv,2021-05-22,7.0,Interesting Concept,2021,19,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}",0.4019,positive
362,thahirkhan,https://www.imdb.com/review/rw6488279/?ref_=tt_urv,2021-01-16,9.0,A fantastic movie - Better the 2nd time I watched it,2021,52,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.7579}",0.7579,positive
363,cgtam,https://www.imdb.com/review/rw6875704/?ref_=tt_urv,2021-05-03,1.0,Silly sci fi wannabe Bond failure,2021,33,"{'neg': 0.393, 'neu': 0.476, 'pos': 0.131, 'compound': -0.4939}",-0.4939,negative
364,mamasage,https://www.imdb.com/review/rw7213339/?ref_=tt_urv,2021-08-10,4.0,"Wait, What?",2021,11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
365,christophjanetzko,https://www.imdb.com/review/rw6033638/?ref_=tt_urv,2020-08-28,10.0,Fantastic experience,2020,20,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.5574}",0.5574,positive
366,morrisondylanfan,https://www.imdb.com/review/rw6063965/?ref_=tt_urv,2020-09-05,9.0,"""Don't try to understand it. Feel it.""",2020,38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
367,benrowe,https://www.imdb.com/review/rw6017553/?ref_=tt_urv,2020-08-22,8.0,Edge of your seat,2020,17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
368,mmkn,https://www.imdb.com/review/rw6108336/?ref_=tt_urv,2020-09-19,8.0,Good movie,2020,10,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
369,sanskar,https://www.imdb.com/review/rw6362027/?ref_=tt_urv,2020-12-13,10.0,Best movie of 2020 for me,2020,25,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,positive
370,GazWatson,https://www.imdb.com/review/rw6031167/?ref_=tt_urv,2020-08-27,6.0,"Thinks it's clever, isn't",2020,25,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
371,arabnikita,https://www.imdb.com/review/rw6033739/?ref_=tt_urv,2020-08-28,9.0,"Trully, a new level of cinematic experience.",2020,44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
372,JohnnySartana,https://www.imdb.com/review/rw6337940/?ref_=tt_urv,2020-12-05,6.0,"Exciting first half, complete mess by the end.",2020,46,"{'neg': 0.214, 'neu': 0.513, 'pos': 0.274, 'compound': 0.1779}",0.1779,positive
373,KissMyAss,https://www.imdb.com/review/rw6151130/?ref_=tt_urv,2020-10-05,5.0,Mediocricy at it's most Obnoxious,2020,33,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5095}",-0.5095,negative
374,s_nico,https://www.imdb.com/review/rw6072182/?ref_=tt_urv,2020-09-07,9.0,James Bond meets Inception?,2020,27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
375,sultan,https://www.imdb.com/review/rw6032115/?ref_=tt_urv,2020-08-27,10.0,Nolan he's blowing my mind,2020,26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
376,stephenstephenbyrne,https://www.imdb.com/review/rw6428390/?ref_=tt_urv,2020-12-31,7.0,Kinda indulgent but I was okay with it?,2020,39,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.3291}",0.3291,positive
377,habylab,https://www.imdb.com/review/rw6048111/?ref_=tt_urv,2020-08-31,7.0,"Great idea, poor execution",2020,26,"{'neg': 0.337, 'neu': 0.217, 'pos': 0.446, 'compound': 0.25}",0.25,positive
378,antoniatejedabarros,https://www.imdb.com/review/rw6452316/?ref_=tt_urv,2021-01-07,6.0,"Good idea, but empty characters and too many explosions!",2021,56,"{'neg': 0.218, 'neu': 0.612, 'pos': 0.17, 'compound': -0.1386}",-0.1386,negative
379,TheInfiniteFormula,https://www.imdb.com/review/rw8030282/?ref_=tt_urv,2022-04-03,3.0,I cried...bcoz it's that bad!,2022,29,"{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.5848}",-0.5848,negative
380,n_watters,https://www.imdb.com/review/rw6151624/?ref_=tt_urv,2020-10-06,1.0,Actually walked out early,2020,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
381,peeedeee,https://www.imdb.com/review/rw6054267/?ref_=tt_urv,2020-09-01,3.0,"A PG, Mediocre Film",2020,19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
382,pietclausen,https://www.imdb.com/review/rw6339424/?ref_=tt_urv,2020-12-05,4.0,A major disappointment,2020,22,"{'neg': 0.767, 'neu': 0.233, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
383,chasereality,https://www.imdb.com/review/rw6019512/?ref_=tt_urv,2020-08-23,10.0,"Ferociously Entertaining, Nolan is back with bang",2020,49,"{'neg': 0.21, 'neu': 0.5, 'pos': 0.29, 'compound': 0.2023}",0.2023,positive
384,jhill,https://www.imdb.com/review/rw7255249/?ref_=tt_urv,2021-08-21,1.0,Did I hear that?,2021,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
385,bmlchick,https://www.imdb.com/review/rw6056034/?ref_=tt_urv,2020-09-02,3.0,Please Stop Blindly Liking Everything Nolan Does,2020,48,"{'neg': 0.196, 'neu': 0.357, 'pos': 0.446, 'compound': 0.4215}",0.4215,positive
386,Popcorn_Media,https://www.imdb.com/review/rw6036433/?ref_=tt_urv,2020-08-28,8.0,"""Welcome to the Afterlife.""",2020,27,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}",0.4588,positive
387,harshit,https://www.imdb.com/review/rw6420481/?ref_=tt_urv,2020-12-29,6.0,Painful background music,2020,24,"{'neg': 0.592, 'neu': 0.408, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative
388,hughnwilliams,https://www.imdb.com/review/rw6076925/?ref_=tt_urv,2020-09-08,2.0,Couldn't hear a word of dialogue,2020,32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
389,classicsoncall,https://www.imdb.com/review/rw6876605/?ref_=tt_urv,2021-05-03,8.0,"""We are being attacked by the future.""",2021,38,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
390,Tweekums,https://www.imdb.com/review/rw6427384/?ref_=tt_urv,2020-12-31,9.0,Time travels in both directions in this Christopher Nolan thriller,2020,66,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.1027}",0.1027,positive
391,twoonlinegamers,https://www.imdb.com/review/rw6032228/?ref_=tt_urv,2020-08-27,9.0,Brilliant Film,2020,14,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.5859}",0.5859,positive
392,wesz,https://www.imdb.com/review/rw6047538/?ref_=tt_urv,2020-08-30,10.0,Another one..,2020,13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
393,ztigr,https://www.imdb.com/review/rw6067541/?ref_=tt_urv,2020-09-06,9.0,Even If I wanted to spoil this movie I couldn't,2020,47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
394,Mcnabbbeasty,https://www.imdb.com/review/rw6329146/?ref_=tt_urv,2020-12-02,7.0,Tenet; A Nolan Cliche,2020,21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
395,JamesAlvarez,https://www.imdb.com/review/rw6557625/?ref_=tt_urv,2021-02-02,7.0,Maybe this movie should come with a textbook.,2021,45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
396,alex,https://www.imdb.com/review/rw6358871/?ref_=tt_urv,2020-12-12,3.0,Please Explain!,2020,15,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3802}",0.3802,positive
397,dothancore,https://www.imdb.com/review/rw6074709/?ref_=tt_urv,2020-09-08,6.0,The quality of Nolan's movie is trending down,2020,45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
398,alirezazamani,https://www.imdb.com/review/rw6449391/?ref_=tt_urv,2021-01-06,6.0,The idea of the movie is really great but Nolan made it very very confusing!!!,2021,78,"{'neg': 0.206, 'neu': 0.657, 'pos': 0.136, 'compound': -0.3371}",-0.3371,negative
399,astampe,https://www.imdb.com/review/rw6339984/?ref_=tt_urv,2020-12-05,7.0,"Nolan wants to feel smart, huh?",2020,31,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,positive
400,SLEEPMAN,https://www.imdb.com/review/rw6033312/?ref_=tt_urv,2020-08-28,9.0,"Nolan is back, and more EPIC than ever.",2020,39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
401,pablocastroalves,https://www.imdb.com/review/rw6311947/?ref_=tt_urv,2020-11-26,5.0,It didn't work this time.,2020,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
402,coombsstephen,https://www.imdb.com/review/rw6032594/?ref_=tt_urv,2020-08-27,6.0,Some good action but ruined by an overly complex storyline,2020,58,"{'neg': 0.294, 'neu': 0.567, 'pos': 0.138, 'compound': -0.4939}",-0.4939,negative
403,tezzahols,https://www.imdb.com/review/rw6086303/?ref_=tt_urv,2020-09-11,6.0,okay,2020,4,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.2263,positive
404,saherodeh,https://www.imdb.com/review/rw6054811/?ref_=tt_urv,2020-09-02,6.0,"I dont know, maybe I'm just stupid.",2020,35,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
405,robertpatrickmadden,https://www.imdb.com/review/rw6034729/?ref_=tt_urv,2020-08-28,2.0,Sorry but no,2020,12,"{'neg': 0.798, 'neu': 0.202, 'pos': 0.0, 'compound': -0.4497}",-0.4497,negative
406,bogeyman,https://www.imdb.com/review/rw6122808/?ref_=tt_urv,2020-09-25,1.0,Trying to be too smart,2020,22,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
407,ivan,https://www.imdb.com/review/rw6108244/?ref_=tt_urv,2020-09-19,8.0,Definitely a movie you need to watch twice,2020,42,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive
408,jackdeth_,https://www.imdb.com/review/rw6425724/?ref_=tt_urv,2020-12-30,6.0,Ermmm...what just happened?,2020,27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
409,svenfuhrmann,https://www.imdb.com/review/rw6504961/?ref_=tt_urv,2021-01-19,10.0,A legendary,2021,11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
410,TheAceReviewer,https://www.imdb.com/review/rw6371393/?ref_=tt_urv,2020-12-16,8.0,Why Tenet Wasn't Tenet,2020,22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
411,danew,https://www.imdb.com/review/rw6325546/?ref_=tt_urv,2020-11-30,5.0,WHAT WAS IT ALL ABOUT? : From the first scene convoluted vaguness abounds,2020,73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
412,awang,https://www.imdb.com/review/rw6029687/?ref_=tt_urv,2020-08-26,10.0,"Unprecedented, Complex Movie",2020,28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
413,a_maz,https://www.imdb.com/review/rw6321076/?ref_=tt_urv,2020-11-29,6.0,"A bold, brave (possibly stupid?) attempt at exploring a concept that isn't exactly easy to show in film...",2020,106,"{'neg': 0.112, 'neu': 0.607, 'pos': 0.28, 'compound': 0.5565}",0.5565,positive
414,vilovian,https://www.imdb.com/review/rw6017170/?ref_=tt_urv,2020-08-22,7.0,Playing Early in Korea,2020,22,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}",0.2023,positive
415,Theconnorc,https://www.imdb.com/review/rw6946814/?ref_=tt_urv,2021-05-21,7.0,Review of tenet,2021,15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
416,jayg_,https://www.imdb.com/review/rw6432057/?ref_=tt_urv,2021-01-01,5.0,Passing Time,2021,12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
417,sanjithkumar,https://www.imdb.com/review/rw6926039/?ref_=tt_urv,2021-05-16,6.0,Too much paradoxes,2021,18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
418,tsunder,https://www.imdb.com/review/rw6101445/?ref_=tt_urv,2020-09-17,10.0,"Incredible cinema, Nolan does it again",2020,38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
419,manonlemieux,https://www.imdb.com/review/rw8417168/?ref_=tt_urv,2022-08-09,9.0,Loved it! Needs rewatching to fully understand,2022,46,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.636}",0.636,positive
420,roeinnesmati,https://www.imdb.com/review/rw6066744/?ref_=tt_urv,2020-09-05,10.0,Amazing,2020,7,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,positive
421,originalstudents,https://www.imdb.com/review/rw6029940/?ref_=tt_urv,2020-08-27,1.0,The 1st of Nolans worst movies,2020,30,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}",-0.6249,negative
422,jdowney,https://www.imdb.com/review/rw6769639/?ref_=tt_urv,2021-04-02,2.0,This Movie is Really Bad.,2021,25,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.5849}",-0.5849,negative
423,msfascia,https://www.imdb.com/review/rw7186604/?ref_=tt_urv,2021-08-01,2.0,Is this really a Nolan film?,2021,28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
424,rafiado,https://www.imdb.com/review/rw7460166/?ref_=tt_urv,2021-10-19,8.0,Brilliant,2021,9,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,positive
425,Yvie,https://www.imdb.com/review/rw6360656/?ref_=tt_urv,2020-12-12,3.0,"""Just because an idea is over-convoluted and complex doesn't make it cool."" - Sharon, South Park",2020,96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
426,alisonmulligan,https://www.imdb.com/review/rw6069750/?ref_=tt_urv,2020-09-06,8.0,Much better if you watch it twice.,2020,34,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,positive
427,jddrake,https://www.imdb.com/review/rw6507773/?ref_=tt_urv,2021-01-20,9.0,Nolan's answer to Bond,2021,22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
428,dan_slentz,https://www.imdb.com/review/rw6089721/?ref_=tt_urv,2020-09-12,3.0,2 1/2 Hours of Non-Sense... A MESS of a Storyline!,2020,50,"{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.5461}",-0.5461,negative
429,AdrenalinDragon,https://www.imdb.com/review/rw6029745/?ref_=tt_urv,2020-08-26,6.0,Nolan's Reverse/Inverse trend of hits and misses continue,2020,57,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative
430,kosmasp,https://www.imdb.com/review/rw6046057/?ref_=tt_urv,2020-08-30,10.0,At-Tenet-ion: Can you feel it?,2020,30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
431,Neptune,https://www.imdb.com/review/rw6584422/?ref_=tt_urv,2021-02-11,6.0,"This movie felt like, me trying to understand mathematics",2021,57,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,positive
432,safeatbase,https://www.imdb.com/review/rw7027956/?ref_=tt_urv,2021-06-13,8.0,Nolan,2021,5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
433,pm_unnikrishnan,https://www.imdb.com/review/rw6052657/?ref_=tt_urv,2020-09-01,2.0,The premise is nonsensical. Nolan is milking his market value.,2020,62,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.34}",0.34,positive
434,jeffdntx,https://www.imdb.com/review/rw6070686/?ref_=tt_urv,2020-09-06,9.0,Wow! Intricate story and incredible editing,2020,43,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.69}",0.69,positive
435,nakrugt,https://www.imdb.com/review/rw6057029/?ref_=tt_urv,2020-09-02,6.0,A pinch of Interstellar & Inception set in...,2020,45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
436,jere_zabala,https://www.imdb.com/review/rw6349613/?ref_=tt_urv,2020-12-09,3.0,"Tenet is just like a spy itself, perfectly constructed, but it has no soul, it's heartless",2020,90,"{'neg': 0.316, 'neu': 0.49, 'pos': 0.194, 'compound': -0.5789}",-0.5789,negative
437,frankdistefano,https://www.imdb.com/review/rw6871604/?ref_=tt_urv,2021-05-02,1.0,Incomprehensible and pretentious,2021,32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
438,tinjo,https://www.imdb.com/review/rw6020437/?ref_=tt_urv,2020-08-23,8.0,It's simply insane to watch the sheer scale of these ideas unfold on screen. Price of admission insane!,2020,103,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.69}",-0.69,negative
439,TooKakkoiiforYou_,https://www.imdb.com/review/rw6695996/?ref_=tt_urv,2021-03-15,1.0,Christopher Nolan parodying himself,2021,35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
440,UncleTantra,https://www.imdb.com/review/rw6078282/?ref_=tt_urv,2020-09-09,2.0,"""Tenet"" -- the Christopher Nolan is a total dick review",2020,55,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
441,bastille,https://www.imdb.com/review/rw6052982/?ref_=tt_urv,2020-09-01,5.0,Christopher Nolan's Weakest Film,2020,32,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
442,vanstonejason,https://www.imdb.com/review/rw6459165/?ref_=tt_urv,2021-01-09,6.0,I think I need a PhD in Astrophysics to maybe understand this movie.,2021,68,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
443,dvdandre,https://www.imdb.com/review/rw6344943/?ref_=tt_urv,2020-12-07,1.0,just-awful sound mix and sub-par video editing,2020,46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
444,MovieUniverse,https://www.imdb.com/review/rw6033632/?ref_=tt_urv,2020-08-28,10.0,Tenet Review I 96/100,2020,21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
445,mawallin,https://www.imdb.com/review/rw6052768/?ref_=tt_urv,2020-09-01,10.0,Brilliant action movie!,2020,23,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6239}",0.6239,positive
446,thechair,https://www.imdb.com/review/rw6028847/?ref_=tt_urv,2020-08-26,5.0,A First-timer,2020,13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
447,cdcrb,https://www.imdb.com/review/rw6745829/?ref_=tt_urv,2021-03-26,4.0,will the world end?,2021,19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
448,traceytak,https://www.imdb.com/review/rw6889170/?ref_=tt_urv,2021-05-07,1.0,Background music and noise way too loud,2021,39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
449,clarkie,https://www.imdb.com/review/rw6060988/?ref_=tt_urv,2020-09-04,8.0,Absolutely solid movie.,2020,23,"{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.2247}",0.2247,positive
450,ZaganEDF,https://www.imdb.com/review/rw6274933/?ref_=tt_urv,2020-11-15,1.0,worse than Inception,2020,20,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
451,mikeburdick,https://www.imdb.com/review/rw7051294/?ref_=tt_urv,2021-06-21,6.0,Life's too short,2021,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
452,Midhat_Mustafa_,https://www.imdb.com/review/rw6068508/?ref_=tt_urv,2020-09-06,3.0,Omg.. It's way worse on the second watch,2020,40,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
453,ngarciabloj,https://www.imdb.com/review/rw7192661/?ref_=tt_urv,2021-08-03,2.0,"Old ideas, new paint on top.",2021,28,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.2023}",0.2023,positive
454,Sigerk,https://www.imdb.com/review/rw6321088/?ref_=tt_urv,2020-11-29,6.0,Disappointing,2020,13,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,negative
455,chandanshivaramu,https://www.imdb.com/review/rw6032436/?ref_=tt_urv,2020-08-27,6.0,Worst music + bland storytelling + torturing climax,2020,51,"{'neg': 0.669, 'neu': 0.331, 'pos': 0.0, 'compound': -0.8442}",-0.8442,negative
456,ObsessiveCinemaDisorder,https://www.imdb.com/review/rw6102196/?ref_=tt_urv,2020-09-17,6.0,"Technically I Didn't See Tenet, I Am Forgetting It In Reverse.",2020,62,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
457,gijsvanzon,https://www.imdb.com/review/rw6387642/?ref_=tt_urv,2020-12-21,6.0,Highly overrated,2020,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
458,FresherThanYourWife,https://www.imdb.com/review/rw6367665/?ref_=tt_urv,2020-12-15,8.0,"Yes, I watched it twice, I believe I understand the concept and the complexity behind it. BUT...",2020,96,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",0.4019,positive
459,procopy,https://www.imdb.com/review/rw7803506/?ref_=tt_urv,2022-01-27,1.0,There's probably worse but still,2022,32,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.2617}",-0.2617,negative
460,RayCharles,https://www.imdb.com/review/rw6077058/?ref_=tt_urv,2020-09-09,8.0,Your Future Self is Going to Return to Rate This Higher if You Didn't Like It Your First Time Through; It's Way Better Than What the Negative Reviews Have Summated,2020,163,"{'neg': 0.163, 'neu': 0.756, 'pos': 0.081, 'compound': -0.4423}",-0.4423,negative
