,author,url,date,rating,review
1477,michallucky,https://www.imdb.com/review/rw6575137/?ref_=tt_urv,8 February 2021,10,People are not ready to experience this movie.
1478,Liam3011,https://www.imdb.com/review/rw6118623/?ref_=tt_urv,23 September 2020,9,Christopher Nolan Does it Again!
1479,light-rock,https://www.imdb.com/review/rw6069574/?ref_=tt_urv,6 September 2020,4,Do over
1480,gustaslietuva,https://www.imdb.com/review/rw6861452/?ref_=tt_urv,29 April 2021,6,Dissapointing
1481,sergiorossini,https://www.imdb.com/review/rw7286006/?ref_=tt_urv,29 August 2021,3,Too much time to get your attention
1482,inioi,https://www.imdb.com/review/rw6075170/?ref_=tt_urv,8 September 2020,1,Nolan didn´t do it again.
1483,rayytseng,https://www.imdb.com/review/rw6133759/?ref_=tt_urv,29 September 2020,8,A great movie which leaves the audience behind with its breakneck pace
1484,retailkitchenfit,https://www.imdb.com/review/rw6080833/?ref_=tt_urv,10 September 2020,4,How clever am I? (Mr Nolan)
1485,hesellsmystuff,https://www.imdb.com/review/rw7154211/?ref_=tt_urv,23 July 2021,2,Avoid this movie - SUCH a waste of time
1486,loganastrup,https://www.imdb.com/review/rw6071343/?ref_=tt_urv,7 September 2020,8,Very anxious to see it again and again
1487,Sheldon_biamonte,https://www.imdb.com/review/rw6036148/?ref_=tt_urv,28 August 2020,5,Huhhhh?
1488,bart-sluijter,https://www.imdb.com/review/rw6142841/?ref_=tt_urv,2 October 2020,6,"Nothing interesting happens, at a very high pace"
1489,naveenhareendra,https://www.imdb.com/review/rw6364828/?ref_=tt_urv,14 December 2020,10,Well we'll well
1490,payiyugk,https://www.imdb.com/review/rw6881260/?ref_=tt_urv,5 May 2021,1,Mess
1491,bergchamp-36054,https://www.imdb.com/review/rw6430708/?ref_=tt_urv,1 January 2021,2,W T F
1492,muthurajr-77134,https://www.imdb.com/review/rw6115504/?ref_=tt_urv,22 September 2020,10,"Just Amazing, another masterpiece from sir Christopher Nolan"
1493,deijmaster-49968,https://www.imdb.com/review/rw6327994/?ref_=tt_urv,1 December 2020,3,Impossible to follow - disappointing.
1494,tk-72543,https://www.imdb.com/review/rw6414348/?ref_=tt_urv,28 December 2020,3,Disappointed
1495,ITS_SHOWTIME37,https://www.imdb.com/review/rw6033350/?ref_=tt_urv,28 August 2020,1,An absolute casserole of nonsense
1496,dnsoft,https://www.imdb.com/review/rw6378195/?ref_=tt_urv,18 December 2020,1,Not a movie! 1/10
1497,Aunt_Bee,https://www.imdb.com/review/rw6052298/?ref_=tt_urv,1 September 2020,5,Sound and Fury
1498,khutton-47311,https://www.imdb.com/review/rw7451929/?ref_=tt_urv,17 October 2021,1,My head hurts...
1499,burgif,https://www.imdb.com/review/rw6320813/?ref_=tt_urv,29 November 2020,4,Unecessary too long
1500,achilles-95443,https://www.imdb.com/review/rw6032568/?ref_=tt_urv,27 August 2020,1,Expected more from the storyline
1501,w-bogdan,https://www.imdb.com/review/rw6318606/?ref_=tt_urv,28 November 2020,1,Idiotic beyond belief
1502,robertperner1980,https://www.imdb.com/review/rw6327037/?ref_=tt_urv,1 December 2020,1,I wish I could reverse time to unwatch this movie and get my money back
1503,dusanbozin,https://www.imdb.com/review/rw6386224/?ref_=tt_urv,21 December 2020,1,Timeless boring
1504,niartymail,https://www.imdb.com/review/rw6059241/?ref_=tt_urv,3 September 2020,10,TENET
1505,XxEthanHuntxX,https://www.imdb.com/review/rw6029508/?ref_=tt_urv,26 August 2020,8,The Protagonist
1506,jovana_ivetic,https://www.imdb.com/review/rw6049352/?ref_=tt_urv,31 August 2020,2,Don't Play with Time Travel Unless You're James Cameron
1507,mcaatu,https://www.imdb.com/review/rw6029206/?ref_=tt_urv,26 August 2020,8,Masterpiece
1508,peepaz,https://www.imdb.com/review/rw6050546/?ref_=tt_urv,31 August 2020,1,Nolan is in The Altogether
1509,svozil-706-642770,https://www.imdb.com/review/rw6343079/?ref_=tt_urv,6 December 2020,4,Confusing and feels ridiculous
1510,roboticeg,https://www.imdb.com/review/rw6042280/?ref_=tt_urv,29 August 2020,3,Worest movie of Nolan
1511,Bahan15,https://www.imdb.com/review/rw6357957/?ref_=tt_urv,12 December 2020,1,By far one of the worse movie I've seen this year
1512,jancolt,https://www.imdb.com/review/rw6021299/?ref_=tt_urv,23 August 2020,1,Terrible and loud
1513,mbee-68480,https://www.imdb.com/review/rw6453323/?ref_=tt_urv,8 January 2021,1,Don't waste your money and time
1514,jesseopslot,https://www.imdb.com/review/rw6034223/?ref_=tt_urv,28 August 2020,10,Masterful movie
1515,aeneaskokkelmans,https://www.imdb.com/review/rw6328325/?ref_=tt_urv,1 December 2020,10,"Personally, I loved it"
1516,ronakkotian,https://www.imdb.com/review/rw6046157/?ref_=tt_urv,30 August 2020,7,Nolan's most complex film yet
1517,cinderfella-97073,https://www.imdb.com/review/rw6395943/?ref_=tt_urv,24 December 2020,1,Cringe worthy
1518,Felixhug,https://www.imdb.com/review/rw7061150/?ref_=tt_urv,25 June 2021,4,Intellectual exercise
1519,jeffmetal85,https://www.imdb.com/review/rw6384201/?ref_=tt_urv,20 December 2020,3,An Incoherent Mess
1520,kpanditrao,https://www.imdb.com/review/rw6350269/?ref_=tt_urv,9 December 2020,1,One of the WORST movies ever made!
1521,tanmay-jack02,https://www.imdb.com/review/rw6332468/?ref_=tt_urv,3 December 2020,8,It was DARK Movie
1522,deloudelouvain,https://www.imdb.com/review/rw6335086/?ref_=tt_urv,4 December 2020,7,This is by far the most complex story that is enjoyable to watch.
1523,Illogic,https://www.imdb.com/review/rw6914079/?ref_=tt_urv,14 May 2021,3,The music overpowers everything and makes this film hard to watch
1524,mark_young-47447,https://www.imdb.com/review/rw6137761/?ref_=tt_urv,30 September 2020,4,Watch if you want tinnitus
1525,healthy-5,https://www.imdb.com/review/rw7195811/?ref_=tt_urv,4 August 2021,4,Not the easiest film.
1526,clawson-54348,https://www.imdb.com/review/rw6052087/?ref_=tt_urv,1 September 2020,10,Second review
1527,markphilo,https://www.imdb.com/review/rw6521880/?ref_=tt_urv,24 January 2021,2,Would like to reverse time so I hadn't seen it
1528,loanea,https://www.imdb.com/review/rw6104856/?ref_=tt_urv,18 September 2020,10,Ahead of it's time...
1529,rd-45882,https://www.imdb.com/review/rw6321693/?ref_=tt_urv,29 November 2020,4,Nice Conecpt bad Movie
1530,AW_McGOWAN,https://www.imdb.com/review/rw6615184/?ref_=tt_urv,20 February 2021,7,Nolan's Latest (and Largest) Mind Blow
1531,youngman44,https://www.imdb.com/review/rw6523130/?ref_=tt_urv,24 January 2021,5,Disappointing
1532,Terranigma,https://www.imdb.com/review/rw6340496/?ref_=tt_urv,5 December 2020,5,I couldn't pass first 30 minutes
1533,myny-jeffrey,https://www.imdb.com/review/rw6031858/?ref_=tt_urv,27 August 2020,9,Just as interesting as Inception
1534,zaynfenix,https://www.imdb.com/review/rw6039932/?ref_=tt_urv,29 August 2020,9,Another Mind/Time bending Movie
1535,anankitrajpoot,https://www.imdb.com/review/rw6099722/?ref_=tt_urv,16 September 2020,10,outstanding
1536,smyrold,https://www.imdb.com/review/rw6033459/?ref_=tt_urv,28 August 2020,8,"It is a good movie, however comma"
1537,fatihkilinc2008,https://www.imdb.com/review/rw6510221/?ref_=tt_urv,21 January 2021,10,Such a good film that...
1538,cdrw6622,https://www.imdb.com/review/rw6320078/?ref_=tt_urv,29 November 2020,2,Pretentious and BORING
1539,mrnomore,https://www.imdb.com/review/rw6342610/?ref_=tt_urv,6 December 2020,3,Unbearable mess pushed upon us
1540,don-502,https://www.imdb.com/review/rw6225355/?ref_=tt_urv,1 November 2020,2,"Running, shooting, deliberately confusing trash."
1541,maestrogreatrex,https://www.imdb.com/review/rw6903040/?ref_=tt_urv,11 May 2021,2,The Matrix You Are Not
1542,operacha-39498,https://www.imdb.com/review/rw7397678/?ref_=tt_urv,1 October 2021,1,Puzzling
1543,anulzemag,https://www.imdb.com/review/rw6846086/?ref_=tt_urv,24 April 2021,5,Dissatisfied
1544,markjenkinsmedia,https://www.imdb.com/review/rw6324056/?ref_=tt_urv,30 November 2020,4,NOT QUITE AS STUPID AS INCEPTION OR INTERSTELLAR
1545,imshanmukhn,https://www.imdb.com/review/rw6122887/?ref_=tt_urv,25 September 2020,10,Best mind bending of the decade
1546,iamshunaji,https://www.imdb.com/review/rw6768876/?ref_=tt_urv,1 April 2021,4,I'll never be able to reverse the time wasted on this movie
1547,remooheshmat,https://www.imdb.com/review/rw7567408/?ref_=tt_urv,20 November 2021,7,A more than one time watch movie
1548,kkuopanp-1,https://www.imdb.com/review/rw6041642/?ref_=tt_urv,29 August 2020,4,Perfect... waste of time.
1549,bc_rockon,https://www.imdb.com/review/rw6558835/?ref_=tt_urv,3 February 2021,10,"The first movie in history, where the bad reviews make you realize just how amazing this movie is........."
1550,victorhraje,https://www.imdb.com/review/rw6046095/?ref_=tt_urv,30 August 2020,6,disappointed
1551,boblin2-1,https://www.imdb.com/review/rw8392874/?ref_=tt_urv,2 August 2022,3,Another interesting topic ruined by a loud annoying soundtrack
1552,ironmonkeypimp,https://www.imdb.com/review/rw6349642/?ref_=tt_urv,9 December 2020,1,silly film
1553,meret90,https://www.imdb.com/review/rw6110427/?ref_=tt_urv,20 September 2020,10,Don't Try To Understand Feel it
1554,emyrgu,https://www.imdb.com/review/rw6143874/?ref_=tt_urv,3 October 2020,9,Probably the only thing you'll see in cinemas this year.
1555,designfxsa,https://www.imdb.com/review/rw6318358/?ref_=tt_urv,28 November 2020,5,Extremely loud audio
1556,mcsoyt,https://www.imdb.com/review/rw6144594/?ref_=tt_urv,3 October 2020,10,A Masterpiece.
1557,maggielane-98043,https://www.imdb.com/review/rw6022146/?ref_=tt_urv,23 August 2020,1,THIS IS NO MASTERPIECE
1558,shashrvacai,https://www.imdb.com/review/rw6030475/?ref_=tt_urv,27 August 2020,9,"Love it .. Din completely understand it, but I loved it."
1559,sushantchavancool,https://www.imdb.com/review/rw6371003/?ref_=tt_urv,16 December 2020,10,Fabulous
1560,chiatplay,https://www.imdb.com/review/rw6039909/?ref_=tt_urv,29 August 2020,7,Audio nightmare plagues this film.
1561,thalia1957,https://www.imdb.com/review/rw6073712/?ref_=tt_urv,7 September 2020,1,"Bad sound, in a movie where every word is needed to try to follow convoluted plot?"
1562,bekundaedmo,https://www.imdb.com/review/rw6403917/?ref_=tt_urv,26 December 2020,10,Absolutely Spectacular
1563,aldofalse,https://www.imdb.com/review/rw6136051/?ref_=tt_urv,30 September 2020,,TENET
1564,doodle_lu,https://www.imdb.com/review/rw6114131/?ref_=tt_urv,21 September 2020,1,"I am huge Nolan fan, but this is AWFUL"
1565,dtrani,https://www.imdb.com/review/rw6379161/?ref_=tt_urv,19 December 2020,8,Confusing at first; satisfying at the end
1566,sanjk75,https://www.imdb.com/review/rw6339199/?ref_=tt_urv,5 December 2020,1,Nailed on Razzie for Audio!
1567,phillafrenais,https://www.imdb.com/review/rw6764625/?ref_=tt_urv,31 March 2021,3,Soooo forgettable!
1568,evan-maines,https://www.imdb.com/review/rw6054525/?ref_=tt_urv,2 September 2020,8,Christopher Nolan is this generations Kubrick
1569,animesdas,https://www.imdb.com/review/rw6788738/?ref_=tt_urv,7 April 2021,8,NOT TIME BUT MIND INVERSION
1570,wesseldj-48581,https://www.imdb.com/review/rw6405035/?ref_=tt_urv,26 December 2020,3,Comical
1571,papanloveu,https://www.imdb.com/review/rw7153011/?ref_=tt_urv,23 July 2021,8,MIND-BENDING TENET.
1572,ravisakibandars,https://www.imdb.com/review/rw6332019/?ref_=tt_urv,3 December 2020,10,MOST UNDERRATED FILM OF NOLAN
1573,larssonabout,https://www.imdb.com/review/rw8206603/?ref_=tt_urv,5 June 2022,4,Nonsense
1574,lvanderwindt,https://www.imdb.com/review/rw6032702/?ref_=tt_urv,27 August 2020,10,A masterpiece
1575,transfercloud,https://www.imdb.com/review/rw6387203/?ref_=tt_urv,21 December 2020,2,Worst Nolan movie ever
1576,loufalce,https://www.imdb.com/review/rw6071604/?ref_=tt_urv,7 September 2020,1,"It's A Joke, Right?"
1577,wnico-25969,https://www.imdb.com/review/rw6030440/?ref_=tt_urv,27 August 2020,7,If We look past the drooling fanboys 10/10 reviews and see it for What it is...
1578,trokanmariel-17760,https://www.imdb.com/review/rw6353514/?ref_=tt_urv,10 December 2020,10,It doesn't have to be perfect. It just has to be different
1579,rupertwalker,https://www.imdb.com/review/rw7337440/?ref_=tt_urv,12 September 2021,4,Yawn
1580,johandavid-74476,https://www.imdb.com/review/rw6555290/?ref_=tt_urv,2 February 2021,2,Michael Bay Movie.
1581,shanx24,https://www.imdb.com/review/rw6344126/?ref_=tt_urv,7 December 2020,3,"""It's inverted. It's entropy run backwards."""
1582,zakht,https://www.imdb.com/review/rw6029692/?ref_=tt_urv,26 August 2020,10,"WATCH IT TWICE, ABSOLUTE PERFECTION"
1583,alexdatcu76-969-528909,https://www.imdb.com/review/rw6118653/?ref_=tt_urv,23 September 2020,9,Palindrome
1584,brady_caprice,https://www.imdb.com/review/rw6032926/?ref_=tt_urv,28 August 2020,8,Drove out the Theatre backwards
1585,sucraf,https://www.imdb.com/review/rw6323652/?ref_=tt_urv,30 November 2020,5,Tenet
1586,mpf101,https://www.imdb.com/review/rw7009745/?ref_=tt_urv,8 June 2021,9,CHRIS NOLAN IS GOD
1587,darkblue-5,https://www.imdb.com/review/rw6102650/?ref_=tt_urv,17 September 2020,4,It's a bad movie
1588,katson-90687,https://www.imdb.com/review/rw6324257/?ref_=tt_urv,30 November 2020,3,Confusing
1589,passenger70,https://www.imdb.com/review/rw6448698/?ref_=tt_urv,6 January 2021,2,THUNDERBORE
1590,dmmsj0,https://www.imdb.com/review/rw6073327/?ref_=tt_urv,7 September 2020,,out of control
1591,cdc123,https://www.imdb.com/review/rw6877920/?ref_=tt_urv,4 May 2021,3,Good grief. Whaaat a mess.
1592,ruwetjohn,https://www.imdb.com/review/rw7166740/?ref_=tt_urv,26 July 2021,5,Not even close to Inception
1593,dan-havard,https://www.imdb.com/review/rw6029818/?ref_=tt_urv,26 August 2020,6,"What hurts more, my brain or my ear drums?"
1594,mrpicky,https://www.imdb.com/review/rw6085172/?ref_=tt_urv,11 September 2020,5,respect the work BUT it has a lot of problems
1595,sabrina_farooqi,https://www.imdb.com/review/rw6031827/?ref_=tt_urv,27 August 2020,7,"Loved the movie, but ugh Kenneth"
1596,farhannoel,https://www.imdb.com/review/rw6718357/?ref_=tt_urv,19 March 2021,1,So Confusing...
1597,maoraw,https://www.imdb.com/review/rw6045795/?ref_=tt_urv,30 August 2020,3,An utter... Mess
1598,buffyfan_ieuan,https://www.imdb.com/review/rw6048844/?ref_=tt_urv,31 August 2020,2,So dispointing
1599,miromoman,https://www.imdb.com/review/rw6353825/?ref_=tt_urv,10 December 2020,4,Inconsistently dumb
1600,bobbyfagan-74529,https://www.imdb.com/review/rw6040898/?ref_=tt_urv,29 August 2020,6,"Terrible characters, great action. Just ok"
1601,engineerharpal,https://www.imdb.com/review/rw6053481/?ref_=tt_urv,1 September 2020,9,Another Amazing Movie by Christopher Nolan
1602,smilinjack-54601,https://www.imdb.com/review/rw6093008/?ref_=tt_urv,13 September 2020,1,"Pointless, Loud, Obnoxious Special Effects kept waking me up."
1603,J0RWAL,https://www.imdb.com/review/rw6629086/?ref_=tt_urv,23 February 2021,4,Background music is terrible
1604,ilir_osmani,https://www.imdb.com/review/rw6084600/?ref_=tt_urv,11 September 2020,9,Perfect in second watch
1605,lorenzozuliani,https://www.imdb.com/review/rw6039399/?ref_=tt_urv,29 August 2020,,"Pointless, messy, rushed, emotionless, exaggerated nonsense"
1606,davidgould-50411,https://www.imdb.com/review/rw6035721/?ref_=tt_urv,28 August 2020,5,Wait for streaming service so that you can watch with subtitles
1607,matricaonline-56177,https://www.imdb.com/review/rw6056039/?ref_=tt_urv,2 September 2020,10,Another sci-fi home run from Nolan. Requires multiple viewings
1608,brenttiefenbach,https://www.imdb.com/review/rw6317383/?ref_=tt_urv,28 November 2020,1,Horriblé
1609,fatherchristmas89,https://www.imdb.com/review/rw6067083/?ref_=tt_urv,5 September 2020,5,Didn't have a clue what was going on.
1610,raine-toivonen,https://www.imdb.com/review/rw6031030/?ref_=tt_urv,27 August 2020,4,"Mess, it's not a 10/10, you shouldn't give this a 10/10 only because its a Nolan film"
1611,sachindagur,https://www.imdb.com/review/rw6326650/?ref_=tt_urv,1 December 2020,9,Just amazing!
1612,littlekaraca,https://www.imdb.com/review/rw6027932/?ref_=tt_urv,26 August 2020,10,An amazing spectacle
1613,kaizen314,https://www.imdb.com/review/rw6787274/?ref_=tt_urv,6 April 2021,7,The Kopfkino of Nolan
1614,OliverTalens,https://www.imdb.com/review/rw6088004/?ref_=tt_urv,12 September 2020,10,I used inversion to fully understand this amazing movie
1615,davidusa-68904,https://www.imdb.com/review/rw6205262/?ref_=tt_urv,25 October 2020,4,"Ironically, may have single handedly KILLED theaters."
1616,MovieBuff11732,https://www.imdb.com/review/rw6190383/?ref_=tt_urv,19 October 2020,9,A Fantastic Nolan Film Deserving Of Multiple Viewings
1617,Tony_Fresh_Reviews,https://www.imdb.com/review/rw6035906/?ref_=tt_urv,28 August 2020,7,A movie that will make your brain hurt and ears ring.
1618,radisha,https://www.imdb.com/review/rw6048560/?ref_=tt_urv,31 August 2020,3,Delicate Flower
1619,recif,https://www.imdb.com/review/rw6047910/?ref_=tt_urv,30 August 2020,1,Second worst movie I've ever seen
1620,mttrowbridge,https://www.imdb.com/review/rw6371991/?ref_=tt_urv,16 December 2020,5,Chris has reached his limit
1621,OftenCriticalGuy,https://www.imdb.com/review/rw6331173/?ref_=tt_urv,2 December 2020,4,OMG meh AF
1622,DaveModer,https://www.imdb.com/review/rw6039795/?ref_=tt_urv,29 August 2020,5,OMG...
1623,msq-3,https://www.imdb.com/review/rw6107583/?ref_=tt_urv,19 September 2020,10,"Fine movie, excellent cinema experience"
1624,simonwells,https://www.imdb.com/review/rw6320829/?ref_=tt_urv,29 November 2020,4,Well acted but with too many flaws to count
1625,oksanayakubets,https://www.imdb.com/review/rw6088056/?ref_=tt_urv,12 September 2020,3,Where are all the females?
1626,Battle-Droid,https://www.imdb.com/review/rw6344976/?ref_=tt_urv,7 December 2020,3,Lazy Writing
1627,ngothienluan,https://www.imdb.com/review/rw7268445/?ref_=tt_urv,25 August 2021,1,Bored flim waste time to watch it...........................
1628,adityaveerais,https://www.imdb.com/review/rw7262670/?ref_=tt_urv,23 August 2021,4,Here's a tenet for you: skip this one
1629,cristianbuleandra,https://www.imdb.com/review/rw6087747/?ref_=tt_urv,12 September 2020,4,Action packed nonsense
1630,leviheaton,https://www.imdb.com/review/rw6120534/?ref_=tt_urv,24 September 2020,10,Top five greatest movies of all time!
1631,batiste-bieler,https://www.imdb.com/review/rw6416502/?ref_=tt_urv,28 December 2020,5,"Stylish, Soulless and too loud"
1632,mikekisil,https://www.imdb.com/review/rw6110222/?ref_=tt_urv,20 September 2020,2,"Good director, rubbish writer - Christopher Nolan, the complete package."
1633,timeblackmore,https://www.imdb.com/review/rw6032937/?ref_=tt_urv,28 August 2020,7,It Has some Problems
1634,partridgeluk,https://www.imdb.com/review/rw6047528/?ref_=tt_urv,30 August 2020,3,Absolute load of dribble
1635,Sulan2,https://www.imdb.com/review/rw6340661/?ref_=tt_urv,6 December 2020,5,Huge Potential movie that got ruined by the audio mix
1636,m0rg16,https://www.imdb.com/review/rw6047470/?ref_=tt_urv,30 August 2020,5,Peak Nolan - and not in a good way
1637,lissa-s,https://www.imdb.com/review/rw6055282/?ref_=tt_urv,2 September 2020,10,Mind bending greatness
1638,marmar-69780,https://www.imdb.com/review/rw6029255/?ref_=tt_urv,26 August 2020,7,Tenet
1639,adityamagdum-08000,https://www.imdb.com/review/rw6454483/?ref_=tt_urv,8 January 2021,9,Nolan's Student Project....
1640,fmatt-88980,https://www.imdb.com/review/rw6509430/?ref_=tt_urv,21 January 2021,3,Tenet is a slow boring mess!
1641,minarecimuge,https://www.imdb.com/review/rw6440390/?ref_=tt_urv,3 January 2021,1,Ridiculously boring!
1642,stevendbeard,https://www.imdb.com/review/rw6063810/?ref_=tt_urv,5 September 2020,8,Head Trip
1643,voicemanb,https://www.imdb.com/review/rw6372438/?ref_=tt_urv,17 December 2020,1,Unwatchable
1644,darius_sutherland,https://www.imdb.com/review/rw6369099/?ref_=tt_urv,15 December 2020,1,Not a helpful review
1645,alfred-verhoeven,https://www.imdb.com/review/rw6794496/?ref_=tt_urv,9 April 2021,4,Too complicated
1646,roumen-ad,https://www.imdb.com/review/rw8010366/?ref_=tt_urv,27 March 2022,1,Interesting very poor movie
1647,flcntk3-856-986017,https://www.imdb.com/review/rw6099459/?ref_=tt_urv,16 September 2020,2,high concept that needs to come down
1648,Amiri17,https://www.imdb.com/review/rw6034563/?ref_=tt_urv,28 August 2020,10,Most important film in cinema history
1649,trout303,https://www.imdb.com/review/rw6772929/?ref_=tt_urv,3 April 2021,1,Psst. Dr Who never had this trouble.
1650,gusffern,https://www.imdb.com/review/rw6029669/?ref_=tt_urv,26 August 2020,10,And you thought 'Inception' was hard to wrap your head around? HA!
1651,marcus-chugh,https://www.imdb.com/review/rw6412947/?ref_=tt_urv,28 December 2020,1,"Impossible to Understand, Poor Direction, Nonsensical Story"
1652,hunterml-10540,https://www.imdb.com/review/rw6104129/?ref_=tt_urv,18 September 2020,7,"Fantastic plot, but can't hear what the characters are saying"
1653,art96321,https://www.imdb.com/review/rw7859868/?ref_=tt_urv,12 February 2022,6,A confusing movie you gotta watch more than once.
1654,thedarkknight_332,https://www.imdb.com/review/rw6107333/?ref_=tt_urv,19 September 2020,8,Christopher Nolan has made another great movie (shocker!) (Non-spoiler review)
1655,Agent10,https://www.imdb.com/review/rw6279690/?ref_=tt_urv,17 November 2020,9,"Interesting to follow, fun to decipher."
1656,leondrotleff,https://www.imdb.com/review/rw6034055/?ref_=tt_urv,28 August 2020,9,Im completely mad on the critics off this movie
1657,TdSmth5,https://www.imdb.com/review/rw6410565/?ref_=tt_urv,27 December 2020,9,Brilliant
1658,darrenhrose,https://www.imdb.com/review/rw6076078/?ref_=tt_urv,8 September 2020,1,The epitaph of everything that is bad about movies in 2020
1659,helma-2,https://www.imdb.com/review/rw6222531/?ref_=tt_urv,31 October 2020,2,"A score so loud, it warped space-time."
1660,rozerasma,https://www.imdb.com/review/rw6029042/?ref_=tt_urv,26 August 2020,6,My TENET review
1661,DavoZed,https://www.imdb.com/review/rw6074956/?ref_=tt_urv,8 September 2020,6,Confused
1662,komkommersalade,https://www.imdb.com/review/rw6138634/?ref_=tt_urv,1 October 2020,9,"Great storybuilding, great acting, fun to watch"
1663,sblewis-34729,https://www.imdb.com/review/rw6385651/?ref_=tt_urv,21 December 2020,3,Not Worth The Hype
1664,jigil,https://www.imdb.com/review/rw6395966/?ref_=tt_urv,24 December 2020,5,So Many Flaws Behind A Great Idea
1665,lindavdhelm,https://www.imdb.com/review/rw6149963/?ref_=tt_urv,5 October 2020,10,"Short review: amazingly complex, but worth it!"
1666,doalvarez2002,https://www.imdb.com/review/rw6326820/?ref_=tt_urv,1 December 2020,3,Was the camera crew drunk?
1667,neokirik,https://www.imdb.com/review/rw7779677/?ref_=tt_urv,19 January 2022,10,Cool
1668,March_Ery,https://www.imdb.com/review/rw6434587/?ref_=tt_urv,2 January 2021,5,Nah
1669,ramonfarro,https://www.imdb.com/review/rw6030862/?ref_=tt_urv,27 August 2020,10,"Tenet, perfect and not disappointed at all"
1670,armanschwarz,https://www.imdb.com/review/rw6125959/?ref_=tt_urv,26 September 2020,3,What?
1671,srivastavatushar09,https://www.imdb.com/review/rw7208729/?ref_=tt_urv,8 August 2021,5,Director has kept the story moving but without proper explanation.
1672,TheMovieBro,https://www.imdb.com/review/rw6369574/?ref_=tt_urv,16 December 2020,4,Dumb
1673,gianmarcoronconi,https://www.imdb.com/review/rw7147711/?ref_=tt_urv,21 July 2021,7,Too difficult to follow
1674,nqviet-56377,https://www.imdb.com/review/rw6040290/?ref_=tt_urv,29 August 2020,5,I don't feeling anything after watching this
1675,gwzpratdc,https://www.imdb.com/review/rw6455541/?ref_=tt_urv,8 January 2021,4,Confusing
1676,kirubanithi005,https://www.imdb.com/review/rw6332210/?ref_=tt_urv,3 December 2020,8,Tenet is good!
1677,j_sharvit,https://www.imdb.com/review/rw6384221/?ref_=tt_urv,20 December 2020,4,WOW AMAZING
1678,jewelch,https://www.imdb.com/review/rw6467751/?ref_=tt_urv,12 January 2021,5,Very confusing but lots of action
1679,Havivski182,https://www.imdb.com/review/rw6450894/?ref_=tt_urv,7 January 2021,1,Few words - its bad.
1680,babak-zakeri,https://www.imdb.com/review/rw6410281/?ref_=tt_urv,27 December 2020,1,Awful
1681,saptesh786,https://www.imdb.com/review/rw6103956/?ref_=tt_urv,18 September 2020,6,Time Travel ?
1682,asdfqaz123,https://www.imdb.com/review/rw6535171/?ref_=tt_urv,27 January 2021,3,So much hype so little substance
1683,rachelking-09489,https://www.imdb.com/review/rw6032628/?ref_=tt_urv,27 August 2020,10,Must watch twice!!
1684,bindalmoch,https://www.imdb.com/review/rw6049512/?ref_=tt_urv,31 August 2020,1,Does not even come close to inception
1685,kpassa,https://www.imdb.com/review/rw6453030/?ref_=tt_urv,7 January 2021,3,Too much of a mess to bother with
1686,eternitypm,https://www.imdb.com/review/rw6055195/?ref_=tt_urv,2 September 2020,7,Liked but didnt love.
1687,freddy_at_home,https://www.imdb.com/review/rw6047801/?ref_=tt_urv,30 August 2020,7,Nolan only did ONE mistake!!
1688,rupees,https://www.imdb.com/review/rw6042893/?ref_=tt_urv,29 August 2020,6,A logic-mess
1689,pableto,https://www.imdb.com/review/rw6288473/?ref_=tt_urv,20 November 2020,4,Highbrow buddy cop story done good... Genius.
1690,djsnauwaert,https://www.imdb.com/review/rw6033658/?ref_=tt_urv,28 August 2020,1,Utter BS movie
1691,jeronimolascurainfut,https://www.imdb.com/review/rw6218124/?ref_=tt_urv,30 October 2020,8,We ain't ready for this yet
1692,BlackOpsBaby,https://www.imdb.com/review/rw6057789/?ref_=tt_urv,3 September 2020,8,Inception on Drugs ! Expect to have a polarised opinion.
1693,silesh_neelshan,https://www.imdb.com/review/rw6336256/?ref_=tt_urv,4 December 2020,1,Worthless movie
1694,MOscarbradley,https://www.imdb.com/review/rw6033823/?ref_=tt_urv,28 August 2020,8,Sci-Fi silliness that's also hugely enjoyable.
1695,Sir_AmirSyarif,https://www.imdb.com/review/rw6641169/?ref_=tt_urv,27 February 2021,8,A complex yet visually stunning cinematic experience
1696,camillelr21,https://www.imdb.com/review/rw6081582/?ref_=tt_urv,10 September 2020,10,"An absolute masterpiece, change my mind."
1697,jaywgonzales,https://www.imdb.com/review/rw6075090/?ref_=tt_urv,8 September 2020,10,Magnificent
1698,juanandonly-80815,https://www.imdb.com/review/rw6441852/?ref_=tt_urv,4 January 2021,8,A lot of rewatch needed
1699,satheesh_rm,https://www.imdb.com/review/rw6063421/?ref_=tt_urv,5 September 2020,5,"If you don't understand a movie the first time, then they didn't do a good job explaining it. job explaining it."
1700,keithhainzl,https://www.imdb.com/review/rw7234278/?ref_=tt_urv,16 August 2021,6,Surprisingly underwhelming
1701,Gordon-11,https://www.imdb.com/review/rw6050016/?ref_=tt_urv,31 August 2020,,I'll watch it one more time
1702,jesseturner-76991,https://www.imdb.com/review/rw6154670/?ref_=tt_urv,7 October 2020,6,Awesome VFX
1703,stefan_gaina,https://www.imdb.com/review/rw6057038/?ref_=tt_urv,2 September 2020,1,I guess I am too stupid
1704,userspotify,https://www.imdb.com/review/rw6419998/?ref_=tt_urv,29 December 2020,1,Most confusing movie ever
